Flight Type;Fl No.;Origin;ETA;Reg. No.;Fl No.;Dest;ETD;AC Type;Class;Pax;Gate;Bay
Dep;;HAH;22.48;KYT;;;23.98;E90;C;96;11;16
Arr;KQ444;KGL;21.25;FFF;;BJM;22.65;E90;C;96;8;3C
Full;KQ537;ABV;19.33;FFB;KQ720;LUN;22.17;E90;C;96;13;12
Full;PW725;JRO;19.33;PWC;;;23.98;AT7;A;72;15;3A
Full;KQ433;JRO;10.83;KYQ;KQ780;HRE;13.00;E90;C;96;16;10
Arr;KQ349;KRT;6.58;KYT;;HAH;7.98;E90;C;96;10;9
Full;SA184;JNB;15.25;;SA185;JNB;16.08;320;D;150;13;16
Full;KQ101;LHR;6.50;KZZ;KQ116;AMS;8.25;773;G;385;14;17
Full;KQ353;JUB;18.17;FFF;KQ616;MBA;18.92;E90;C;96;12;18
Full;KQ533;LOS;19.92;CYA;KQ764;JNB;21.75;738;D;162;12;16
Full;KQ117;AMS;6.33;KZX;KQ116;AMS;8.58;773;G;385;15;19
Park;;ADD;1.17;ETAPF;;ADD;4.40;738;D;0.0;4;J4B
Dep;;EBB;6.25;KYS;KQ480;DAR;7.75;E90;C;96;12;10
Full;KQ741;MPM;21.08;FFD;;;23.98;E90;C;96;14;5
Full;KQ655;KIS;12.08;FFK;KQ606;MBA;13.08;E90;C;96;2;15
Full;KQ483;DAR;15.67;KYS;KQ610;MBA;16.50;E90;C;96;14;14
Full;KQ483;DAR;15.67;KYS;KQ610;MBA;16.50;E90;C;96;15;11
Arr;KQ265;HAH;17.67;KYT;;;19.07;E90;C;96;14;16
Park;;MBA;13.92;KQB;;MBA;24.00;73J;E;0.0;16;J2A
Park;;DAR;23.75;KYQ;;JRO;24.00;E90;C;0.0;19;H5
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385;16;10
Full;KQ413;EBB;15.08;KYP;KQ444;KGL;16.17;E90;C;96;17;12
Park;;ABJ;7.83;KYD;;EBB;21.32;738;D;0.0;18;J7
Arr;ET304;ADD;12.33;ETAQO;;ADD;13.73;738;D;162;8;20
